longitude,latitude,hcho,no2,aqi,hcho_index,no2_index,category
78.10851395419239,20.885830355778875,0.0002011653835844,7.109020026052463e-05,218.0,390.73856775949275,102.76574411025487,Very Unhealthy
91.40358015916132,24.299428435433057,0.0002035871174166,7.914574756981179e-05,234.9,395.50961313702953,127.8681870465661,Very Unhealthy
89.78661264774617,22.68246092401792,0.0001941796445977,7.15463242522791e-05,213.3,376.9759992814796,104.18710333456215,Very Unhealthy
81.52211203384657,34.5402226743956,5.781987031040934e-05,4.835245656374816e-05,62.5,108.33430871041858,31.911102987265735,Moderate
95.44599893769916,19.987515071659352,0.0001761795646163,5.697321188595478e-05,171.9,341.5141342124619,58.774829340670124,Unhealthy
87.72048749427127,18.909536730715928,0.0001240816132914,5.05306455224299e-05,118.8,238.87622803843826,38.69870685085104,Unhealthy
74.3355897608904,28.431678742382854,0.0001531701392153,6.942031744681293e-05,177.0,296.1833834752962,97.56210785413134,Unhealthy
71.28131779488403,14.238297253294416,0.0001155803099834,4.6091092386858177e-05,103.8,222.12785407951083,24.86431112705847,Unhealthy
80.713628278139,33.911401975511936,3.908903301189533e-05,4.978720229399275e-05,50.4,71.4327824063135,36.382012466012014,Moderate
73.88643211883064,23.940102321785247,0.0001648719217926,6.952263759244633e-05,186.4,319.2370051954214,97.88095467091267,Unhealthy
93.29004225581232,31.84527682203704,5.916911838481536e-05,4.94495692808591e-05,65.6,110.99245540802546,35.3298910991831,Moderate
70.38300251076451,36.786010884694406,7.199401633739237e-05,5.455102314963852e-05,85.2,136.25872095729855,51.22688105114102,Moderate
84.30688941461709,14.328128781706368,0.0001047166579234,4.6115353023074574e-05,95.3,200.725428984369,24.939911357910404,Moderate
79.72548146560753,36.15719018581074,6.089998794965737e-05,5.2492921278047744e-05,72.6,114.40243264278901,44.81348878800321,Moderate
90.41543334662984,28.072352628735047,7.500452210492172e-05,4.6236217017686295e-05,72.1,142.18970289893113,25.316543933117003,Moderate
90.77475946027764,14.777286423766128,9.4678074353578e-05,4.357690283387755e-05,82.6,180.94846708170317,17.02967278882855,Moderate
69.75418181188084,21.334987997838635,0.0001371935681529,5.873099462212605e-05,144.4,264.7080229287962,64.25237656806974,Unhealthy
